信号时间,方向,突破基准价,入场KAMA,出场时间,出场价,实际涨跌幅,盘中最大涨跌幅,持仓K线数,持仓小时,最大回撤1,最大回撤1时间,最大回撤2,最大回撤2时间,最大回撤3,最大回撤3时间,KAMA止损出场,峰值到平仓回撤
2021-01-02 12:00,long,29668.86,28776.463692007776,2021-01-03 04:00,30719.997351876827,0.03542897677486856,0.12845589618205752,4,16.0,0.02764573955146573,2021-01-03 04:00,0.0,2021-01-02 16:00,0.0,,True,0.07233528584194415
2021-01-04 12:00,short,32400.0,32894.518371273225,2021-01-05 08:00,32684.535496169217,-0.008781959758309178,0.1419753086419753,5,20.0,0.03732945236446599,2021-01-05 04:00,0.029318491016789017,2021-01-04 20:00,0.0,2021-01-04 16:00,True,0.05887021084924817
2021-01-06 00:00,long,32900.0,32356.58462458939,2021-01-08 00:00,37107.7077049954,0.1278938512156657,0.23299756838905783,12,48.0,0.017278409523601608,2021-01-07 12:00,0.011094835612062016,2021-01-06 20:00,0.0,2021-01-06 04:00,True,0.0
2021-01-11 00:00,short,38500.0,39667.39252997609,2021-01-12 04:00,35392.30718297755,0.08071929394863504,0.20914285714285713,7,28.0,0.08351352786630498,2021-01-12 04:00,0.014622475100542067,2021-01-12 00:00,0.0,2021-01-11 04:00,True,0.08787862195300618
2021-01-14 00:00,long,35584.79,35245.852943878825,2021-01-15 12:00,38153.319226864434,0.07218053631521876,0.12939798155335464,9,36.0,0.03544827240735872,2021-01-15 12:00,0.02946713253434516,2021-01-15 08:00,0.019090305694355797,2021-01-15 04:00,True,0.044387190470640714
2021-01-20 08:00,short,35850.0,36960.76031080164,2021-01-23 00:00,33323.5439718137,0.07047297149752584,0.19442119944211994,16,64.0,0.06696555310525171,2021-01-23 00:00,0.038686712290816785,2021-01-22 20:00,0.03397679729684295,2021-01-21 04:00,True,0.07347399705999631
2021-01-29 16:00,long,34380.0,32374.221778480325,2021-01-30 00:00,34108.392731157626,-0.007900153253123146,0.12394124490983126,2,8.0,0.07585997456988151,2021-01-30 00:00,0.0,2021-01-29 20:00,0.0,,True,0.08252542188314609
2021-02-02 16:00,long,34720.0,33835.82287609343,2021-02-04 20:00,36750.46159124193,0.05848103661411095,0.11846198156682028,13,52.0,0.03378221607135174,2021-02-04 20:00,0.01381227063466434,2021-02-04 16:00,0.011583907809445486,2021-02-03 16:00,True,0.0163458096257737
2021-02-08 20:00,long,39570.0,39030.200267635984,2021-02-10 20:00,45871.734411508696,0.1592553553578139,0.21977154409906496,12,48.0,0.0675277868790484,2021-02-10 20:00,0.026934370038057386,2021-02-10 08:00,0.024004250993438735,2021-02-09 16:00,True,0.036559081006025854
2021-02-19 16:00,long,52388.99,51217.305101821155,2021-02-21 04:00,55503.79438905991,0.05945532427824844,0.10135736535481983,9,36.0,0.02007914384036362,2021-02-21 04:00,0.012331775709278382,2021-02-20 12:00,0.002997994789667216,2021-02-20 08:00,True,0.027327522540189036
2021-02-22 16:00,short,55200.0,56139.55222414133,2021-02-24 08:00,50092.38488107538,0.09252925940080839,0.18670615942028987,10,40.0,0.0824543234579522,2021-02-24 08:00,0.05211267692508873,2021-02-24 04:00,0.03525814891633359,2021-02-23 20:00,True,0.09066976730810977
2021-03-07 08:00,long,49253.63,48036.48733686178,2021-03-10 12:00,53127.73577854793,0.07865624886019437,0.1347386984472008,19,76.0,0.024775764788744152,2021-03-10 08:00,0.023753183383478423,2021-03-08 12:00,0.0072416520198832855,2021-03-08 08:00,True,0.019618869984666592
2021-04-16 12:00,short,62157.89,63193.20074343046,2021-04-26 08:00,51560.09247136909,0.17049802573142217,0.24498032349553692,59,236.0,0.057912752897629385,2021-04-26 08:00,0.056022098326448895,2021-04-19 12:00,0.05170625673029208,2021-04-19 08:00,True,0.048412490197824655
2021-05-13 00:00,short,55300.0,56939.886552471675,2021-05-14 16:00,50919.509009511596,0.07921321863451003,0.175473417721519,10,40.0,0.03120131778956201,2021-05-14 16:00,0.022724510876169654,2021-05-14 12:00,0.02127065266283128,2021-05-13 12:00,True,0.044852730396221556
2021-05-15 12:00,short,48870.41,50872.243289467304,2021-05-20 20:00,41130.30350010755,0.1583802243503268,0.41297811907041504,32,128.0,0.07796181857731017,2021-05-20 20:00,0.06173818640207771,2021-05-20 16:00,0.05336102135109136,2021-05-20 12:00,True,0.10797789274995104
2021-05-21 20:00,short,38091.68,41066.698524700834,2021-05-24 16:00,37506.22448716148,0.015369642736642705,0.1836353765441692,17,68.0,0.10485518839032017,2021-05-24 16:00,0.08293234384353375,2021-05-24 12:00,0.05223136378074381,2021-05-22 20:00,True,0.11924352686291828
2021-05-28 12:00,short,37201.0,38192.25020369126,2021-05-30 16:00,36319.32287478739,0.02370036088311101,0.10335743662804764,13,52.0,0.05722082391998913,2021-05-30 16:00,0.04828958833739925,2021-05-30 12:00,0.0350312816361922,2021-05-28 20:00,True,0.04236871045455576
2021-06-08 04:00,short,35201.86,36738.58833787353,2021-06-09 12:00,33812.65355974987,0.039464006738568,0.12024535067181111,8,32.0,0.0634494914091513,2021-06-09 12:00,0.04353771155555816,2021-06-09 04:00,0.0297377519514795,2021-06-09 00:00,True,0.06286739832452237
2021-06-09 16:00,long,34489.0,33825.967265259365,2021-06-11 00:00,36111.93038911067,0.04705646406421376,0.11597900779958828,8,32.0,0.03020461042657238,2021-06-11 00:00,0.02414850575880117,2021-06-10 20:00,0.011442005220981866,2021-06-10 12:00,True,0.0448216710703915
2021-06-14 00:00,long,36150.0,35848.999771044415,2021-06-15 16:00,39560.23367021585,0.09433564786212587,0.13416320885200553,10,40.0,0.023796178431635777,2021-06-15 00:00,0.009570202269213766,2021-06-14 16:00,0.0004013473988713908,2021-06-14 08:00,True,0.027467401661559445
2021-06-18 00:00,short,38105.0,39092.927438339495,2021-06-21 04:00,36063.340499894555,0.053579832045806186,0.12578401784542712,19,76.0,0.04090853284223449,2021-06-21 04:00,0.03825966850828722,2021-06-21 00:00,0.024891621747132733,2021-06-19 20:00,True,0.04658388481509262
2021-06-21 12:00,short,33312.0,35999.49072406992,2021-06-23 08:00,33373.251300064956,-0.0018387157800479111,0.13604676993275702,11,44.0,0.07619658657154935,2021-06-23 08:00,0.039709863498771994,2021-06-22 08:00,0.004424986309337403,2021-06-21 20:00,True,0.05206359082135857
2021-07-21 16:00,long,30933.19,30278.102301379462,2021-07-25 20:00,34113.62075444713,0.1028161258003825,0.124358658127403,25,100.0,0.014997075514034796,2021-07-25 20:00,0.010735692932225524,2021-07-24 00:00,0.008961778915622304,2021-07-22 00:00,True,0.007362061556599083
2021-07-26 04:00,long,34780.0,34130.58019870724,2021-07-27 04:00,37893.168546474706,0.08951030898432162,0.38495112133410003,6,24.0,0.05438000528476779,2021-07-27 04:00,0.0031225392890790096,2021-07-26 12:00,0.0,2021-07-26 08:00,True,0.03722792221038699
2021-08-06 00:00,long,39975.32,38536.468516179884,2021-08-09 00:00,43389.866506998325,0.08541636457189901,0.13444995562261916,18,72.0,0.023957250193430396,2021-08-09 00:00,0.017767028912552493,2021-08-08 20:00,0.016089564213451236,2021-08-06 08:00,True,0.03139965731670926
2021-09-07 20:00,short,50500.0,51836.728528066524,2021-09-09 20:00,46771.3876389356,0.07383390813988909,0.12017821782178217,12,48.0,0.03360205722645157,2021-09-09 20:00,0.024029126387307365,2021-09-09 00:00,0.023177972561248348,2021-09-08 16:00,True,0.016203018067069787
2021-09-19 16:00,short,47590.33,47841.386104417405,2021-09-21 16:00,43624.50669979185,0.0833325446620806,0.15677764789611667,12,48.0,0.011674733759282891,2021-09-21 12:00,0.0023436701275547883,2021-09-21 00:00,0.0020497881211804323,2021-09-20 20:00,True,0.02190366773354037
2021-09-30 08:00,long,42576.8,42257.027420825856,2021-10-03 04:00,47554.81121323497,0.1169183971842639,0.13794366885252055,17,68.0,0.012748124945713205,2021-10-02 08:00,0.005097049127900267,2021-09-30 16:00,0.0,2021-09-30 12:00,True,0.014089501390501778
2021-10-14 00:00,long,56624.1,55742.31036356022,2021-10-16 20:00,60587.833261200234,0.07000081698782383,0.13021858184059443,17,68.0,0.012846165201098532,2021-10-16 20:00,0.012725879631692784,2021-10-15 04:00,0.012702306815176612,2021-10-14 20:00,True,0.0193388747842398
2021-11-07 08:00,long,61645.75,61441.21091638358,2021-11-09 20:00,67295.85018842787,0.09165433445822083,0.11402910987375453,15,60.0,0.024633634161844106,2021-11-09 20:00,0.012902401523365468,2021-11-09 16:00,0.009750017428976566,2021-11-09 12:00,True,0.018495568833258067
2021-12-03 20:00,short,56039.96,56978.00564844109,2021-12-05 08:00,49669.584286459845,0.1136755935147019,0.2703618989021405,9,36.0,0.04212765360633132,2021-12-05 00:00,0.025590663415684233,2021-12-04 20:00,0.0,2021-12-04 00:00,True,0.06414880116740646
2022-01-06 00:00,short,45445.57,46947.477521520406,2022-01-10 00:00,42443.68061982283,0.06605460950709101,0.10977989713848901,24,96.0,0.03678933975417957,2022-01-10 00:00,0.020313012263046618,2022-01-09 16:00,0.01994041191418078,2022-01-09 08:00,True,0.03784239718062255
2022-01-21 08:00,short,40550.0,41982.80037291311,2022-01-23 12:00,35458.04210158162,0.12557232795113152,0.16276202219482122,13,52.0,0.022465136253896116,2022-01-23 12:00,0.011530785497471495,2022-01-23 04:00,0.00025040535049526203,2022-01-22 16:00,True,0.026836566408701145
2022-02-04 12:00,long,37435.54,37248.50132862535,2022-02-06 00:00,41136.74783231011,0.09886882444623768,0.11984493879345667,9,36.0,0.004768073413665383,2022-02-06 00:00,0.004376895306859227,2022-02-05 12:00,0.0029203369434415514,2022-02-05 08:00,True,0.01425754516082695
2022-02-28 20:00,long,39868.6,38380.29451636844,2022-03-02 12:00,43939.738139747176,0.10211389764745132,0.1270774494213492,10,40.0,0.009710749851894705,2022-03-02 12:00,0.0016916662349275905,2022-03-02 08:00,0.0003290464604332566,2022-03-01 08:00,True,0.010234735252045254
2022-03-24 20:00,long,43500.0,42010.80350848367,2022-03-29 04:00,47155.79509767238,0.08404126661315817,0.10804597701149425,26,104.0,0.01671639922375474,2022-03-29 04:00,0.008100191899808132,2022-03-26 20:00,0.005923082965805955,2022-03-26 04:00,True,0.016009116756622487
2022-05-08 04:00,short,35702.9,36143.50315868973,2022-05-10 12:00,31615.214642701972,0.11449168995510249,0.16809558887373294,14,56.0,0.03740096543584883,2022-05-10 12:00,0.014130865893415194,2022-05-10 08:00,0.008272384856797028,2022-05-08 16:00,True,0.03081790377554438
2022-06-13 04:00,short,26850.0,28179.403956119982,2022-06-16 00:00,22210.738018820506,0.17278443132884522,0.25138919925512104,17,68.0,0.027575964234295654,2022-06-16 00:00,0.023951129187965894,2022-06-14 12:00,0.0,2022-06-13 08:00,True,0.047136570515278364
2022-06-17 04:00,short,20739.0,22073.349041500307,2022-06-19 16:00,19389.680938389956,0.0650619153098049,0.1516852307247215,15,60.0,0.06943198995670109,2022-06-19 16:00,0.038443801081191845,2022-06-19 04:00,0.034037614287744565,2022-06-17 12:00,True,0.056343420083150214
2022-07-15 00:00,long,20463.3,19767.760274094144,2022-07-21 08:00,22724.568810713306,0.11050362408376495,0.18636779014137508,38,152.0,0.05709341127957141,2022-07-21 08:00,0.046722706865071385,2022-07-19 00:00,0.031015843429636474,2022-07-18 04:00,True,0.05915652410371604
2022-07-27 20:00,long,21442.0,21140.916423870593,2022-07-29 16:00,23629.120316783403,0.10200169372182645,0.14261729316295121,11,44.0,0.009223828222909158,2022-07-29 16:00,0.009071765535074145,2022-07-28 12:00,0.0,2022-07-28 00:00,True,0.012903320378335583
2022-08-17 20:00,short,23650.0,24051.37181366351,2022-08-20 20:00,21325.944789771307,0.09826871924857053,0.12219873150105708,18,72.0,0.017760084003459745,2022-08-20 12:00,0.011467378782327498,2022-08-20 08:00,0.010519526454861297,2022-08-18 16:00,True,0.023494611596838834
2022-09-09 08:00,long,19450.0,19196.45682110269,2022-09-10 20:00,21203.51261135475,0.09015489004394595,0.1141388174807198,9,36.0,0.006495878606219597,2022-09-10 20:00,0.003610902959910014,2022-09-10 12:00,0.0026929561633570664,2022-09-10 08:00,True,0.003547506398103834
