序号,信号时间,方向,信号收盘价,6K极值,回调基准,ATR,挂单价格,成交,取消原因,成交时间,成交价格,入场价,紧止损价,确认阈值,止盈价,加仓阈值,确认,出场时间,出场价,出场类型,持仓K数,R值,前3K
304,2021/04/04 04:00,做空,57134.65,57800.0,58490.03,1052.7074855215287,57437.32251447847,是,,2021/04/04 08:00,57134.65,57134.65,57450.46224565646,56608.296257239235,51471.2264,56910.96877171771,否,2021/04/04 08:00,57545.11,弱突破平仓,0,-0.3899088831848198,是
305,2021/04/05 20:00,做多,59098.01,58553.0,58553.0,1005.2680905629735,59558.268090562975,是,,2021/04/06 08:00,59558.268090562975,59558.268090562975,59256.687663394085,60060.90213584446,71434.66,60060.90213584446,否,2021/04/06 08:00,58681.45,弱突破平仓,0,-0.8722231400699682,是
306,2021/04/07 16:00,做空,56376.7,57245.46,57500.0,990.2631101698804,56509.73688983012,是,,2021/04/07 20:00,56374.04,56374.04,56671.118933050966,55878.90844491506,50600.0,56014.60533474518,否,2021/04/07 20:00,56527.38,弱突破平仓,0,-0.15484773533944016,是
307,2021/04/08 20:00,做多,57795.24,57415.03,56987.85,1043.2169463738505,58031.06694637385,是,,2021/04/09 00:00,58031.06694637385,58031.06694637385,57718.1018624617,58552.67541956078,69525.177,58552.67541956077,否,2021/04/09 00:00,57778.71,弱突破平仓,0,-0.24190265241666972,是
308,2021/04/10 08:00,做多,59286.01,58950.0,58950.0,960.7699244811146,59910.769924481116,是,,2021/04/10 12:00,59910.769924481116,59910.769924481116,59622.53894713678,60391.15488672167,71919.0,60391.15488672167,是,2021/04/11 04:00,59326.59310003874,止损,4,-2.0219447704431306,否
309,2021/04/12 12:00,做多,60832.23,60555.0,60419.06,984.8594690902994,61403.919469090295,否,KAMA,,,,,,,,,2021/04/12 16:00,,挂单取消,0,,
310,2021/04/13 16:00,做多,63068.31,61550.0,61000.0,1003.3209930524002,62003.3209930524,是,,2021/04/13 20:00,63069.52,63069.52,62768.523702084276,63571.1804965262,74420.0,62504.9814895786,否,2021/04/13 20:00,63420.34,弱突破平仓,0,0.34965878560230373,是
311,2021/04/15 00:00,做空,62242.47,62400.0,62633.94,1171.221308090384,61462.71869190962,否,KAMA,,,,,,,,,2021/04/15 08:00,,挂单取消,0,,
312,2021/04/16 12:00,做空,61513.57,62157.89,62157.89,1143.2374686447288,61014.65253135527,是,,2021/04/16 16:00,61014.65253135527,61014.65253135527,61357.62377194869,60443.033797032906,54698.9432,60443.033797032906,否,2021/04/16 16:00,60939.48,弱突破平仓,0,0.06575408295914374,是
313,2021/04/19 12:00,做多,57325.01,57260.0,56559.4,1736.9234198625873,58296.32341986259,否,KAMA,,,,,,,,,2021/04/19 16:00,,挂单取消,0,,
314,2021/04/22 04:00,做空,53800.0,54257.88,54257.88,1669.4554125259529,52588.424587474045,是,,2021/04/22 08:00,52588.424587474045,52588.424587474045,53089.26121123183,51753.69688121107,47746.9344,51753.69688121107,是,2021/04/22 08:00,53794.72,止损,0,-1.0,是
315,2021/04/23 04:00,做空,51714.61,52228.0,52505.0,1744.8437977931542,50760.15620220685,是,,2021/04/23 08:00,50760.15620220685,50760.15620220685,51283.60934154479,49887.734303310266,46204.4,49887.734303310266,否,2021/04/23 08:00,50319.33,弱突破平仓,0,0.25264508075989006,是
316,2021/04/26 04:00,做空,49063.94,49113.17,49113.17,1575.768698848313,47537.40130115169,否,KAMA,,,,,,,,,2021/04/26 08:00,,挂单取消,0,,
