序号,信号时间,方向,入场线类型,成交价,ATR,ATR%,EMA70偏离度%,突破K数,前3K方向涨幅%,量比,状态,不做原因,是否确认,是否加仓,加仓价,出场时间,出场价,持仓K数,底仓R值,加仓R值,R值,基础档位,出场原因,年份
2751,2021-09-22 04:00,做空,6K极值,41500.91,1088.68,2.591,-5.77,4,2.95,2.69,做上,,确认,,,2021-09-22 12:00,42589.58,2,-1.0,,-1.0,1.0x,前3K止损,2021
2752,2021-09-22 00:00,做空,基准值,42162.28,1053.29,2.446,-3.39,3,-0.92,2.01,做上,,弱突破,,,2021-09-22 00:00,42010.99,0,0.144,,0.144,1.0x,弱突破平仓,2021
2753,2021-09-20 16:00,做空,6K极值,44534.98,832.5,1.857,0.32,40,5.37,3.42,未做,持仓中跳过,确认,是,43029.4,2021-09-22 12:00,42435.07,11,2.522,0.254,2.777,,KAMA跟踪止损,2021
2754,2021-09-20 12:00,做空,6K极值,45243.21,808.14,1.774,1.95,36,4.38,1.56,未做,持仓中跳过,确认,是,43746.15,2021-09-22 04:00,39814.02,10,6.718,1.706,8.424,,止盈,2021
2755,2021-09-20 08:00,做空,6K极值,46849.51,740.45,1.567,5.6,34,0.2,2.54,做上,,确认,是,44837.41,2021-09-21 08:00,41227.57,6,7.593,1.311,8.904,1.5x,止盈,2021
2756,2021-09-19 16:00,做空,6K极值,47601.79,734.38,1.525,7.63,7,0.22,1.12,做上,,弱突破,,,2021-09-19 16:00,47345.06,0,0.35,,0.35,1.5x,弱突破平仓,2021
2757,2021-09-18 12:00,做多,6K极值,47976.17,812.24,1.695,7.27,63,0.83,1.34,做上,,确认,,,2021-09-19 04:00,47976.17,4,0.0,,0.0,2.0x,KAMA跟踪止损,2021
2758,2021-09-18 08:00,做多,6K极值,47727.23,806.65,1.705,6.14,3,-0.25,0.79,做上,,弱突破,,,2021-09-18 08:00,47918.15,0,0.237,,0.237,2.0x,弱突破平仓,2021
2759,2021-09-15 20:00,做多,6K极值,47689.53,886.64,1.865,7.1,47,0.93,1.28,未做,持仓中跳过,确认,,,2021-09-16 08:00,47622.39,3,-0.076,,-0.076,,3K收盘认赔,2021
2760,2021-09-15 16:00,做多,6K极值,47427.68,897.83,1.903,6.28,45,1.56,0.99,未做,持仓中跳过,弱突破,,,2021-09-15 16:00,47542.04,0,0.127,,0.127,,弱突破平仓,2021
2761,2021-09-15 04:00,做多,6K极值,46930.45,946.43,2.037,4.91,30,1.6,0.82,未做,持仓中跳过,弱突破,,,2021-09-15 04:00,47102.51,0,0.182,,0.182,,弱突破平仓,2021
2762,2021-09-14 20:00,做多,6K极值,46155.34,959.47,2.087,3.83,5,2.25,1.98,做上,,确认,是,48259.76,2021-09-16 08:00,47637.05,9,1.544,-0.439,1.105,1.0x,KAMA跟踪止损,2021
2763,2021-09-14 16:00,做多,6K极值,45885.42,985.54,2.155,3.26,4,2.15,0.86,做上,,弱突破,,,2021-09-14 16:00,45979.62,0,0.096,,0.096,1.0x,弱突破平仓,2021
2764,2021-09-14 12:00,做多,6K极值,45521.63,994.09,2.199,2.07,3,1.89,0.83,做上,,弱突破,,,2021-09-14 12:00,45725.73,0,0.205,,0.205,1.0x,弱突破平仓,2021
2765,2021-09-13 12:00,做空,6K极值,44575.71,940.92,2.109,0.95,13,2.83,1.62,做上,,弱突破,,,2021-09-13 12:00,44492.69,0,0.088,,0.088,1.0x,弱突破平仓,2021
2766,2021-09-13 08:00,做空,6K极值,44921.35,899.61,1.954,4.22,12,0.08,1.42,未做,持仓中跳过,弱突破,,,2021-09-13 08:00,44622.48,0,0.332,,0.332,,弱突破平仓,2021
2767,2021-09-12 16:00,做多,6K极值,45497.73,916.52,2.02,2.68,10,-0.03,1.05,做上,,确认,,,2021-09-13 08:00,46065.2,4,0.619,,0.619,1.0x,KAMA跟踪止损,2021
2768,2021-09-10 20:00,做空,6K极值,45655.12,1047.86,2.261,5.1,12,0.14,1.55,做上,,弱突破,,,2021-09-10 20:00,45437.97,0,0.207,,0.207,1.0x,弱突破平仓,2021
2769,2021-09-09 20:00,做多,6K极值,46546.13,1107.04,2.391,5.04,8,0.5,1.25,做上,,弱突破,,,2021-09-09 20:00,46989.29,0,0.4,,0.4,1.0x,弱突破平仓,2021
2770,2021-09-08 12:00,做空,基准值,46009.58,1145.84,2.466,5.59,3,0.4,1.35,未做,持仓中跳过,确认,,,2021-09-09 00:00,46448.5,3,-0.383,,-0.383,,3K收盘认赔,2021
2771,2021-09-07 20:00,做空,6K极值,50584.01,786.33,1.542,16.02,38,3.23,6.2,做上,,确认,是,46694.5,2021-09-08 16:00,44513.93,5,7.72,0.466,8.186,1.5x,止盈,2021
2772,2021-09-07 16:00,做空,基准值,51670.02,732.66,1.399,19.18,8,-1.2,2.82,未做,持仓中跳过,确认,是,46648.42,2021-09-07 20:00,45469.62,1,8.463,0.205,8.668,,止盈,2021
2773,2021-09-07 04:00,做多,基准值,52199.98,730.25,1.411,18.0,701,-0.12,1.2,未做,持仓中跳过,确认,,,2021-09-07 16:00,51469.73,3,-1.0,,-1.0,,前3K止损,2021
2774,2021-09-06 04:00,做多,6K极值,50910.29,742.05,1.463,16.3,695,1.65,1.27,做上,,确认,是,52689.46,2021-09-07 16:00,51825.78,9,1.234,-0.531,0.703,2.0x,KAMA跟踪止损,2021
2775,2021-09-06 00:00,做多,6K极值,50504.59,741.32,1.476,15.22,11,1.1,0.71,做上,,弱突破,,,2021-09-06 00:00,50710.35,0,0.278,,0.278,2.0x,弱突破平仓,2021
2776,2021-09-03 20:00,做多,6K极值,50522.16,836.83,1.667,16.27,668,1.85,1.92,做上,,弱突破,,,2021-09-03 20:00,50589.95,0,0.081,,0.081,2.0x,弱突破平仓,2021
2777,2021-09-03 16:00,做多,基准值,49880.0,816.98,1.656,14.25,4,-0.13,1.8,做上,,弱突破,,,2021-09-03 16:00,50203.16,0,0.396,,0.396,2.0x,弱突破平仓,2021
2778,2021-09-02 08:00,做多,6K极值,49133.01,820.0,1.679,14.14,23,2.3,1.28,做上,,确认,,,2021-09-03 08:00,49208.98,6,0.093,,0.093,2.0x,KAMA跟踪止损,2021
2779,2021-09-02 00:00,做多,6K极值,47869.68,777.57,1.636,11.06,6,0.93,2.0,做上,,弱突破,,,2021-09-02 00:00,48200.44,0,0.425,,0.425,2.0x,弱突破平仓,2021
2780,2021-09-01 16:00,做多,6K极值,47498.15,796.85,1.687,10.34,4,-0.26,0.84,做上,,弱突破,,,2021-09-01 16:00,47748.64,0,0.314,,0.314,2.0x,弱突破平仓,2021
2781,2021-08-31 04:00,做空,6K极值,47414.76,772.38,1.587,14.52,20,-1.41,1.66,未做,持仓中跳过,确认,,,2021-08-31 16:00,47988.77,3,-0.743,,-0.743,,3K收盘认赔,2021
2782,2021-08-31 00:00,做多,6K极值,48241.01,777.63,1.619,13.05,3,0.11,0.89,做上,,确认,,,2021-08-31 04:00,47463.38,1,-1.0,,-1.0,2.0x,前3K止损,2021
2783,2021-08-30 08:00,做空,基准值,48125.58,792.32,1.624,15.2,4,-1.29,1.14,做上,,弱突破,,,2021-08-30 08:00,47982.44,0,0.181,,0.181,1.5x,弱突破平仓,2021
2784,2021-08-30 00:00,做多,6K极值,48681.35,795.59,1.641,14.45,3,0.49,0.63,做上,,弱突破,,,2021-08-30 00:00,48803.86,0,0.154,,0.154,2.0x,弱突破平仓,2021
2785,2021-08-29 08:00,做空,基准值,48411.84,793.99,1.623,16.0,6,-0.4,1.52,做上,,弱突破,,,2021-08-29 08:00,48242.87,0,0.213,,0.213,1.5x,弱突破平仓,2021
2786,2021-08-28 04:00,做多,6K极值,48542.09,896.33,1.856,15.08,10,1.72,0.71,做上,,确认,,,2021-08-28 20:00,48653.57,4,0.124,,0.124,2.0x,KAMA跟踪止损,2021
2787,2021-08-27 20:00,做多,6K极值,47773.61,890.51,1.876,13.1,8,1.34,1.5,未做,持仓中跳过,弱突破,,,2021-08-27 20:00,48188.8,0,0.466,,0.466,,弱突破平仓,2021
2788,2021-08-26 12:00,做空,6K极值,47863.5,884.56,1.845,14.76,34,1.77,2.12,做上,,确认,,,2021-08-27 20:00,47863.5,8,0.0,,0.0,1.5x,KAMA跟踪止损,2021
2789,2021-08-25 20:00,做多,6K极值,48605.99,840.58,1.766,14.34,5,-0.3,1.63,未做,持仓中跳过,弱突破,,,2021-08-25 20:00,48799.29,0,0.23,,0.23,,弱突破平仓,2021
2790,2021-08-25 16:00,做空,基准值,47625.16,829.85,1.723,15.71,28,0.2,1.73,未做,持仓中跳过,弱突破,,,2021-08-25 16:00,47589.99,0,0.042,,0.042,,弱突破平仓,2021
2791,2021-08-25 04:00,做空,6K极值,47775.19,853.56,1.769,16.54,25,3.1,0.7,未做,持仓中跳过,弱突破,,,2021-08-25 04:00,47733.99,0,0.048,,0.048,,弱突破平仓,2021
2792,2021-08-24 20:00,做空,基准值,48814.45,843.06,1.705,19.43,9,0.15,1.96,做上,,确认,,,2021-08-25 20:00,48483.4,6,0.393,,0.393,1.5x,KAMA跟踪止损,2021
2793,2021-08-24 00:00,做空,6K极值,49348.13,872.13,1.76,20.23,3,1.47,0.88,未做,持仓中跳过,弱突破,,,2021-08-24 00:00,49284.28,0,0.073,,0.073,,弱突破平仓,2021
2794,2021-08-23 08:00,做多,6K极值,49500.83,882.11,1.79,20.23,599,0.22,1.56,做上,,确认,,,2021-08-24 00:00,49500.83,4,0.0,,0.0,2.0x,KAMA跟踪止损,2021
2795,2021-08-22 20:00,做空,基准值,48620.14,859.99,1.749,19.97,5,-0.65,1.35,未做,持仓中跳过,弱突破,,,2021-08-22 20:00,48530.83,0,0.104,,0.104,,弱突破平仓,2021
2796,2021-08-21 16:00,做空,6K极值,48600.0,916.77,1.872,20.22,3,-0.62,1.21,未做,持仓中跳过,弱突破,,,2021-08-21 16:00,48549.76,0,0.055,,0.055,,弱突破平仓,2021
2797,2021-08-21 04:00,做多,6K极值,49094.75,967.27,1.987,20.18,578,3.9,0.73,未做,持仓中跳过,弱突破,,,2021-08-21 04:00,49315.01,0,0.228,,0.228,,弱突破平仓,2021
2798,2021-08-20 20:00,做多,基准值,47418.21,932.71,1.986,15.94,575,0.41,1.79,未做,持仓中跳过,确认,是,49315.01,2021-08-22 20:00,48557.81,12,1.222,-0.268,0.954,,KAMA跟踪止损,2021
2799,2021-08-20 08:00,做多,6K极值,47059.7,983.61,2.103,16.19,15,5.75,0.82,未做,持仓中跳过,弱突破,,,2021-08-20 08:00,47087.97,0,0.029,,0.029,,弱突破平仓,2021
2800,2021-08-20 04:00,做多,6K极值,46757.94,999.31,2.139,16.04,13,4.61,0.71,未做,持仓中跳过,弱突破,,,2021-08-20 04:00,46771.32,0,0.013,,0.013,,弱突破平仓,2021
2801,2021-08-20 00:00,做多,6K极值,45797.04,982.04,2.145,13.75,12,3.91,1.25,未做,持仓中跳过,确认,是,48746.03,2021-08-22 20:00,48557.81,17,2.811,-0.067,2.744,,KAMA跟踪止损,2021
2802,2021-08-19 20:00,做多,基准值,45206.89,947.09,2.141,9.88,4,-1.09,1.41,做上,,确认,是,46709.09,2021-08-22 20:00,48557.81,18,3.538,0.755,4.293,1.0x,KAMA跟踪止损,2021
2803,2021-08-19 08:00,做空,6K极值,44411.67,962.54,2.153,11.61,36,0.15,1.02,做上,,弱突破,,,2021-08-19 08:00,44066.66,0,0.358,,0.358,1.0x,弱突破平仓,2021
2804,2021-08-18 20:00,做多,6K极值,45552.44,949.1,2.119,11.78,4,0.21,1.03,未做,持仓中跳过,弱突破,,,2021-08-18 20:00,45827.03,0,0.289,,0.289,,弱突破平仓,2021
2805,2021-08-18 04:00,做空,6K极值,45300.0,966.87,2.125,13.92,28,1.0,1.39,做上,,确认,,,2021-08-18 20:00,45300.0,4,0.0,,0.0,1.0x,KAMA跟踪止损,2021
2806,2021-08-18 00:00,做空,基准值,45663.0,970.02,2.121,14.56,3,1.46,1.05,做上,,弱突破,,,2021-08-18 00:00,45489.15,0,0.179,,0.179,1.0x,弱突破平仓,2021
2807,2021-08-17 16:00,做多,6K极值,46614.05,929.65,2.023,15.08,4,-0.36,1.31,做上,,弱突破,,,2021-08-17 16:00,46878.03,0,0.284,,0.284,1.0x,弱突破平仓,2021
2808,2021-08-17 04:00,做空,6K极值,45974.61,920.67,1.996,15.9,6,2.56,0.98,做上,,弱突破,,,2021-08-17 04:00,45925.93,0,0.053,,0.053,1.5x,弱突破平仓,2021
2809,2021-08-16 20:00,做空,基准值,46789.08,897.61,1.888,19.48,3,-1.14,1.84,做上,,弱突破,,,2021-08-16 20:00,46351.95,0,0.487,,0.487,1.5x,弱突破平仓,2021
2810,2021-08-16 08:00,做多,6K极值,47308.76,914.72,1.946,18.66,9,2.31,1.38,做上,,弱突破,,,2021-08-16 08:00,47389.03,0,0.088,,0.088,2.0x,弱突破平仓,2021
2811,2021-08-16 04:00,做多,6K极值,46505.56,907.66,1.959,16.96,4,1.2,0.9,未做,持仓中跳过,确认,,,2021-08-16 20:00,46606.95,4,0.112,,0.112,,KAMA跟踪止损,2021
2812,2021-08-15 12:00,做空,6K极值,46350.37,913.85,1.949,18.38,11,0.1,1.03,做上,,确认,,,2021-08-16 04:00,46350.37,4,0.0,,0.0,1.5x,KAMA跟踪止损,2021
2813,2021-08-14 04:00,做多,6K极值,46658.77,920.36,1.981,18.61,534,0.81,1.33,未做,持仓中跳过,确认,,,2021-08-14 16:00,46557.25,3,-0.11,,-0.11,,3K收盘认赔,2021
2814,2021-08-13 12:00,做多,6K极值,45364.98,971.01,2.15,15.28,6,2.22,1.1,做上,,确认,是,47791.96,2021-08-14 16:00,46441.91,7,1.109,-0.556,0.553,1.0x,KAMA跟踪止损,2021
2815,2021-08-13 08:00,做多,基准值,44965.0,961.74,2.167,14.03,3,-0.85,0.86,未做,持仓中跳过,弱突破,,,2021-08-13 08:00,45164.57,0,0.208,,0.208,,弱突破平仓,2021
2816,2021-08-12 20:00,做空,6K极值,44679.72,990.69,2.213,15.0,18,1.72,1.42,做上,,确认,,,2021-08-13 08:00,45164.57,3,-0.489,,-0.489,1.0x,3K收盘认赔,2021
2817,2021-08-12 16:00,做空,6K极值,44842.53,991.79,2.192,16.22,9,2.6,1.15,做上,,弱突破,,,2021-08-12 16:00,44767.37,0,0.076,,0.076,1.0x,弱突破平仓,2021
2818,2021-08-12 12:00,做空,6K极值,45424.99,982.22,2.138,17.99,8,1.1,1.19,未做,持仓中跳过,弱突破,,,2021-08-12 12:00,45241.67,0,0.187,,0.187,,弱突破平仓,2021
2819,2021-08-12 04:00,做空,6K极值,45836.12,985.02,2.121,19.81,3,-0.23,0.92,未做,持仓中跳过,弱突破,,,2021-08-12 04:00,45548.94,0,0.292,,0.292,,弱突破平仓,2021
2820,2021-08-11 12:00,做多,6K极值,45985.62,1041.82,2.285,17.59,6,0.93,0.78,未做,持仓中跳过,弱突破,,,2021-08-11 12:00,46339.18,0,0.339,,0.339,,弱突破平仓,2021
2821,2021-08-10 20:00,做空,6K极值,45222.26,1087.04,2.396,17.61,3,1.97,1.23,未做,持仓中跳过,弱突破,,,2021-08-10 20:00,45167.57,0,0.05,,0.05,,弱突破平仓,2021
2822,2021-08-09 16:00,做多,基准值,44575.0,1055.86,2.41,14.17,505,0.18,1.68,做上,,确认,是,46273.27,2021-08-12 12:00,44879.81,17,0.289,-0.506,-0.217,1.0x,KAMA跟踪止损,2021
2823,2021-08-09 00:00,做空,6K极值,43784.67,1080.33,2.456,15.32,4,0.78,0.85,未做,持仓中跳过,弱突破,,,2021-08-09 00:00,43727.04,0,0.053,,0.053,,弱突破平仓,2021
2824,2021-08-08 04:00,做多,6K极值,44548.42,1067.16,2.427,15.8,487,1.77,0.79,未做,持仓中跳过,弱突破,,,2021-08-08 04:00,44592.18,0,0.041,,0.041,,弱突破平仓,2021
2825,2021-08-07 08:00,做多,6K极值,43345.05,1028.4,2.401,13.34,481,5.71,0.79,未做,持仓中跳过,弱突破,,,2021-08-07 08:00,43675.9,0,0.322,,0.322,,弱突破平仓,2021
2826,2021-08-07 00:00,做多,6K极值,42365.11,1047.63,2.483,11.65,477,4.88,1.67,未做,持仓中跳过,确认,是,43975.93,2021-08-09 00:00,43388.2,12,0.977,-0.365,0.612,,KAMA跟踪止损,2021
2827,2021-08-06 20:00,做多,6K极值,41196.04,994.19,2.454,7.22,31,-0.9,1.49,未做,持仓中跳过,确认,是,42914.26,2021-08-09 00:00,43388.2,13,2.205,0.175,2.38,,KAMA跟踪止损,2021
2828,2021-08-06 00:00,做多,基准值,39538.96,923.97,2.384,2.97,22,-1.76,2.27,做上,,确认,是,42185.84,2021-08-09 00:00,43388.2,18,4.166,0.454,4.62,1.0x,KAMA跟踪止损,2021
2829,2021-08-05 16:00,做空,6K极值,38750.0,851.84,2.191,3.32,5,2.17,1.6,未做,持仓中跳过,确认,,,2021-08-06 00:00,39601.84,2,-1.0,,-1.0,,前3K止损,2021
2830,2021-08-05 12:00,做空,6K极值,39202.0,855.15,2.168,4.81,3,-0.41,0.72,未做,持仓中跳过,弱突破,,,2021-08-05 12:00,38886.35,0,0.369,,0.369,,弱突破平仓,2021
2831,2021-08-05 00:00,做多,6K极值,39441.08,904.54,2.302,4.65,9,3.46,0.94,未做,持仓中跳过,弱突破,,,2021-08-05 00:00,39747.94,0,0.339,,0.339,,弱突破平仓,2021
2832,2021-08-04 20:00,做多,基准值,38554.26,884.18,2.318,1.61,8,-0.15,1.75,做上,,确认,,,2021-08-05 16:00,38554.26,5,0.0,,0.0,1.0x,KAMA跟踪止损,2021
2833,2021-08-03 08:00,做空,6K极值,38684.84,952.81,2.434,4.51,20,0.98,1.22,未做,持仓中跳过,弱突破,,,2021-08-03 08:00,38647.22,0,0.039,,0.039,,弱突破平仓,2021
2834,2021-08-02 04:00,做空,6K极值,40648.57,932.24,2.259,10.3,11,1.06,1.56,做上,,确认,是,39169.97,2021-08-04 16:00,38231.68,15,2.593,0.794,3.386,1.0x,KAMA跟踪止损,2021
2835,2021-08-01 08:00,做多,6K极值,41969.92,953.75,2.301,11.0,443,-0.36,0.95,未做,持仓中跳过,弱突破,,,2021-08-01 08:00,42429.03,0,0.481,,0.481,,弱突破平仓,2021
2836,2021-07-31 04:00,做多,6K极值,39850.8,980.08,2.459,7.07,427,0.33,2.15,做上,,确认,是,41823.85,2021-08-02 00:00,40681.23,11,0.847,-0.387,0.46,1.0x,KAMA跟踪止损,2021
2837,2021-07-30 16:00,做空,基准值,39485.31,978.91,2.464,6.72,14,-0.16,1.46,未做,持仓中跳过,确认,,,2021-07-31 04:00,40464.22,3,-1.0,,-1.0,,前3K止损,2021
2838,2021-07-28 16:00,做多,6K极值,40339.84,1033.23,2.59,7.83,255,5.64,0.97,未做,持仓中跳过,弱突破,,,2021-07-28 16:00,40730.99,0,0.379,,0.379,,弱突破平仓,2021
2839,2021-07-28 08:00,做多,6K极值,39504.93,1020.06,2.585,6.92,7,3.78,1.09,未做,持仓中跳过,弱突破,,,2021-07-28 08:00,39815.0,0,0.304,,0.304,,弱突破平仓,2021
2840,2021-07-28 04:00,做多,6K极值,38741.82,981.85,2.6,2.32,5,1.73,0.83,做上,,确认,是,40730.99,2021-07-30 16:00,38935.28,15,0.197,-0.604,-0.407,1.0x,KAMA跟踪止损,2021
2841,2021-07-27 20:00,做多,6K极值,38021.73,980.06,2.578,3.03,3,2.14,1.73,做上,,弱突破,,,2021-07-27 20:00,38210.4,0,0.193,,0.193,1.0x,弱突破平仓,2021
2842,2021-07-27 04:00,做空,基准值,37710.88,900.87,2.288,6.9,4,-3.2,2.83,未做,持仓中跳过,确认,,,2021-07-27 16:00,38021.73,3,-0.345,,-0.345,,3K收盘认赔,2021
2843,2021-07-27 00:00,做多,基准值,39239.91,840.53,2.179,4.73,3,0.78,2.43,未做,持仓中跳过,弱突破,,,2021-07-27 00:00,39371.41,0,0.156,,0.156,,弱突破平仓,2021
2844,2021-07-26 08:00,做多,6K极值,35391.8,598.15,1.691,-3.91,229,2.94,5.32,未做,持仓中跳过,确认,是,38148.79,2021-07-27 04:00,37918.22,5,4.224,-0.069,4.155,,KAMA跟踪止损,2021
2845,2021-07-26 04:00,做多,基准值,34778.44,570.53,1.662,-6.78,125,-1.01,1.17,做上,,确认,是,38272.23,2021-07-27 04:00,37918.22,6,5.503,-0.087,5.416,2.0x,KAMA跟踪止损,2021
2846,2021-07-25 12:00,做多,基准值,34470.99,571.67,1.674,-7.25,104,0.89,1.06,未做,持仓中跳过,弱突破,,,2021-07-25 12:00,34668.74,0,0.346,,0.346,,弱突破平仓,2021
2847,2021-07-24 12:00,做多,6K极值,33758.88,591.25,1.757,-8.71,70,4.17,0.66,未做,持仓中跳过,弱突破,,,2021-07-24 12:00,33793.98,0,0.059,,0.059,,弱突破平仓,2021
2848,2021-07-24 08:00,做多,6K极值,33624.19,602.61,1.792,-8.96,69,4.14,0.8,未做,持仓中跳过,弱突破,,,2021-07-24 08:00,33648.98,0,0.041,,0.041,,弱突破平仓,2021
2849,2021-07-24 04:00,做多,6K极值,32569.01,558.37,1.732,-12.73,67,-0.69,1.27,未做,持仓中跳过,确认,是,33648.98,2021-07-25 20:00,34154.62,10,2.84,0.309,3.148,,KAMA跟踪止损,2021
2850,2021-07-23 08:00,做多,6K极值,32563.72,601.26,1.863,-12.86,7,1.18,0.71,未做,持仓中跳过,弱突破,,,2021-07-23 08:00,32570.0,0,0.01,,0.01,,弱突破平仓,2021
2851,2021-07-22 20:00,做多,基准值,32347.64,614.1,1.926,-13.88,4,-0.68,0.99,未做,持仓中跳过,弱突破,,,2021-07-22 20:00,32475.74,0,0.209,,0.209,,弱突破平仓,2021
2852,2021-07-21 20:00,做多,6K极值,31629.92,601.51,1.909,-15.22,15,5.85,1.42,未做,持仓中跳过,弱突破,,,2021-07-21 20:00,31895.1,0,0.441,,0.441,,弱突破平仓,2021
2853,2021-07-21 16:00,做多,6K极值,30914.0,584.44,1.897,-17.12,11,3.52,1.41,做上,,确认,是,31895.1,2021-07-25 20:00,34154.62,25,5.545,1.443,6.988,2.0x,KAMA跟踪止损,2021
2854,2021-07-21 12:00,做多,6K极值,29954.98,557.18,1.868,-19.77,6,-0.16,1.81,未做,持仓中跳过,确认,是,31510.66,2021-07-25 20:00,34154.62,26,7.537,1.251,8.789,,KAMA跟踪止损,2021
2855,2021-07-20 08:00,做空,基准值,30443.11,534.68,1.735,-17.88,164,1.43,2.31,未做,持仓中跳过,确认,,,2021-07-21 12:00,30266.66,7,0.33,,0.33,,KAMA跟踪止损,2021
2856,2021-07-19 20:00,做空,6K极值,31171.56,542.82,1.736,-16.69,137,1.54,2.61,做上,,确认,是,29582.47,2021-07-21 12:00,30266.66,10,1.667,-0.321,1.346,1.5x,KAMA跟踪止损,2021
2857,2021-07-19 16:00,做空,6K极值,31429.1,545.69,1.727,-15.82,4,0.09,1.27,做上,,弱突破,,,2021-07-19 16:00,31268.31,0,0.295,,0.295,1.5x,弱突破平仓,2021
2858,2021-07-18 20:00,做空,基准值,31451.01,565.4,1.779,-15.76,5,-0.92,1.09,做上,,弱突破,,,2021-07-18 20:00,31357.88,0,0.165,,0.165,1.5x,弱突破平仓,2021
2859,2021-07-18 08:00,做多,6K极值,31899.99,565.78,1.797,-16.91,7,0.36,1.22,做上,,弱突破,,,2021-07-18 08:00,32149.22,0,0.44,,0.44,2.0x,弱突破平仓,2021
2860,2021-07-16 20:00,做多,基准值,32021.06,588.13,1.892,-18.38,5,-2.42,1.8,未做,持仓中跳过,弱突破,,,2021-07-16 20:00,32103.4,0,0.14,,0.14,,弱突破平仓,2021
2861,2021-07-16 16:00,做空,基准值,31503.14,580.49,1.828,-16.6,116,-0.76,1.21,未做,持仓中跳过,确认,,,2021-07-16 20:00,32083.62,1,-1.0,,-1.0,,前3K止损,2021
2862,2021-07-15 20:00,做空,6K极值,31795.4,602.05,1.889,-16.75,6,2.87,1.54,未做,持仓中跳过,弱突破,,,2021-07-15 20:00,31679.31,0,0.193,,0.193,,弱突破平仓,2021
2863,2021-07-15 16:00,做空,6K极值,32358.0,591.13,1.821,-15.21,5,0.79,1.42,做上,,确认,是,31085.66,2021-07-17 00:00,32202.45,8,0.263,-0.878,-0.615,1.5x,KAMA跟踪止损,2021
2864,2021-07-15 12:00,做空,基准值,32573.4,605.63,1.856,-14.78,3,0.45,0.82,做上,,弱突破,,,2021-07-15 12:00,32460.96,0,0.186,,0.186,1.5x,弱突破平仓,2021
2865,2021-07-14 08:00,做空,6K极值,32205.76,588.99,1.8,-15.32,102,0.98,1.4,未做,持仓中跳过,确认,,,2021-07-14 20:00,32794.76,3,-1.0,,-1.0,,前3K止损,2021
2866,2021-07-13 00:00,做空,6K极值,33325.4,594.86,1.784,-14.07,18,3.15,1.63,做上,,确认,是,32296.89,2021-07-14 20:00,32770.12,11,0.933,-0.46,0.473,1.5x,KAMA跟踪止损,2021
2867,2021-07-12 20:00,做空,6K极值,33530.76,610.18,1.82,-13.59,7,2.09,1.41,做上,,弱突破,,,2021-07-12 20:00,33344.35,0,0.305,,0.305,1.5x,弱突破平仓,2021
2868,2021-07-12 16:00,做空,基准值,33726.28,593.92,1.733,-11.68,5,-1.15,1.48,做上,,弱突破,,,2021-07-12 16:00,33530.76,0,0.329,,0.329,1.5x,弱突破平仓,2021
2869,2021-07-12 04:00,做多,6K极值,34090.68,591.66,1.746,-13.05,23,1.15,1.17,做上,,弱突破,,,2021-07-12 04:00,34245.99,0,0.263,,0.263,2.0x,弱突破平仓,2021
2870,2021-07-11 20:00,做多,6K极值,33839.44,620.86,1.837,-13.27,4,0.89,0.77,做上,,弱突破,,,2021-07-11 20:00,33931.12,0,0.148,,0.148,2.0x,弱突破平仓,2021
2871,2021-07-11 00:00,做空,基准值,33481.34,646.39,1.91,-13.46,4,-0.18,1.22,做上,,弱突破,,,2021-07-11 00:00,33403.09,0,0.121,,0.121,1.5x,弱突破平仓,2021
2872,2021-07-10 04:00,做多,6K极值,33666.0,699.27,2.092,-14.88,10,1.66,0.68,做上,,弱突破,,,2021-07-10 04:00,33805.24,0,0.199,,0.199,1.0x,弱突破平仓,2021
2873,2021-07-09 20:00,做多,6K极值,33282.0,699.0,2.134,-16.6,8,-0.3,1.33,未做,持仓中跳过,弱突破,,,2021-07-09 20:00,33535.08,0,0.362,,0.362,,弱突破平仓,2021
2874,2021-07-08 12:00,做空,6K极值,33060.34,725.28,2.179,-15.57,61,3.59,1.49,未做,持仓中跳过,确认,,,2021-07-09 08:00,33060.34,5,0.0,,0.0,,KAMA跟踪止损,2021
2875,2021-07-08 08:00,做空,6K极值,33773.46,718.73,2.123,-14.56,13,2.81,1.18,未做,持仓中跳过,确认,是,32485.44,2021-07-09 20:00,33310.56,9,0.644,-0.411,0.233,,KAMA跟踪止损,2021
2876,2021-07-08 04:00,做空,6K极值,34437.1,712.4,2.058,-12.64,5,0.27,0.79,做上,,确认,是,33290.06,2021-07-09 20:00,33310.56,10,1.581,-0.011,1.57,1.0x,KAMA跟踪止损,2021
2877,2021-07-07 12:00,做多,6K极值,34518.02,766.32,2.225,-13.08,4,1.21,0.87,做上,,弱突破,,,2021-07-07 12:00,34707.0,0,0.247,,0.247,1.0x,弱突破平仓,2021
2878,2021-07-06 12:00,做多,基准值,34248.95,749.04,2.21,-14.8,6,0.95,1.21,做上,,确认,,,2021-07-07 00:00,33999.39,3,-0.333,,-0.333,1.0x,3K收盘认赔,2021
2879,2021-07-05 16:00,做空,6K极值,34041.74,748.88,2.187,-14.3,13,3.71,1.62,做上,,确认,,,2021-07-06 08:00,34041.74,4,0.0,,0.0,1.0x,KAMA跟踪止损,2021
