突破K索引,突破K时间,起点KAMA值,ATR值,突破线价格,峰值价格,峰值K索引,终点K索引,涨跌幅%,持续K数,KAMA同向运行根数
1937,2020-07-27 12:00:00+00:00,10071.42,131.16,10202.58,12026.41,1970,1971,17.88,34,34
2882,2021-01-01 00:00:00+00:00,28461.58,792.16,29253.74,34472.24,2895,2901,17.84,19,20
11321,2024-11-07 12:00:00+00:00,74398.49,1247.57,75646.06,89095.4,11349,11351,17.78,30,30
4182,2021-08-05 16:00:00+00:00,38536.47,921.12,39457.59,46448.42,4218,4222,17.72,40,41
2917,2021-01-06 20:00:00+00:00,33836.46,1380.21,35216.68,41399.98,2926,2938,17.56,21,22
3285,2021-03-09 04:00:00+00:00,50820.56,1440.1,52260.65,61432.39,3314,3319,17.55,34,34
9019,2023-10-20 20:00:00+00:00,29240.82,401.32,29642.14,34841.4,9047,9053,17.54,34,36
11322,2024-11-07 16:00:00+00:00,74563.29,1264.52,75827.81,89095.4,11349,11351,17.5,29,29
6243,2022-07-15 04:00:00+00:00,20084.21,499.09,20583.31,24153.4,6275,6280,17.34,37,37
11325,2024-11-08 04:00:00+00:00,74690.8,1259.93,75950.73,89095.4,11349,11351,17.31,26,28
9022,2023-10-21 08:00:00+00:00,29307.51,408.33,29715.83,34841.4,9047,9053,17.25,31,35
3165,2021-02-17 04:00:00+00:00,48187.46,1453.71,49641.17,58181.35,3192,3194,17.2,29,29
11325,2024-11-08 04:00:00+00:00,74770.46,1268.37,76038.84,89095.4,11349,11351,17.17,26,27
11327,2024-11-08 12:00:00+00:00,74886.26,1209.01,76095.27,89095.4,11349,11351,17.08,24,25
11327,2024-11-08 12:00:00+00:00,74938.53,1177.27,76115.81,89095.4,11349,11351,17.05,24,24
11325,2024-11-08 04:00:00+00:00,74878.56,1243.65,76122.21,89095.4,11349,11351,17.04,26,26
9022,2023-10-21 08:00:00+00:00,29383.23,401.64,29784.87,34841.4,9047,9053,16.98,31,34
4182,2021-08-05 16:00:00+00:00,38751.78,979.0,39730.78,46448.42,4218,4222,16.91,40,40
6244,2022-07-15 08:00:00+00:00,20173.02,497.08,20670.1,24153.4,6275,6280,16.85,36,36
