方向,起始K,结束K,起始时间,结束时间,持续K数,截断,KAMA参考,突破KATR,起点价,极值价,极值K,极值时间,极值年龄K,涨跌幅%,终结K收盘,峰前回撤%,全程回撤%,峰值回吐%,突破K实体%,突破K顺向涨跌%,突破K振幅ATR,收盘距KAMA_ATR,ATR%,量比,EMA70偏离%,距20K高_ATR,距20K低_ATR,前波涨幅%,前波同向,前休整K,3K后剩余%,5K后剩余%,8K后剩余%,10K后剩余%,15K后剩余%,20K后剩余%
做空,1779,1780,2020-07-01 04:00:00+00:00,2020-07-01 08:00:00+00:00,2,False,9140.970695897999,95.679806067404,9030.320193932595,9126.0,1779,2020-07-01 04:00:00+00:00,1,-1.0595394627500707,9157.72,1.4679413710764067,0.8108700416392725,0.3475783475783404,7.510845986981231,0.025276952234210004,0.38545228628513495,0.04724817162373033,1.0472317592435136,0.534827309245284,1.0578071113098886,-1.0090948546862881,2.585916612599517,-1.0985658524723934,True,-1.0,,,,,,
做多,1780,1781,2020-07-01 08:00:00+00:00,2020-07-01 12:00:00+00:00,2,False,9140.912958728308,94.1458157640338,9294.145815764034,9268.95,1781,2020-07-01 12:00:00+00:00,2,-0.2710933986133253,9263.75,1.712323207734727,1.4215202369200417,0.05610128439575925,32.72307692307479,0.23280376951659854,0.6904183629670319,0.17852138340185583,1.0280486383513996,1.0556830116525553,1.293073495655824,-0.7996106825255171,2.3903345908015416,-1.0595394627500707,False,-1.0,,,,,,
做多,1781,1787,2020-07-01 12:00:00+00:00,2020-07-02 12:00:00+00:00,7,False,9140.986776476588,96.02652497583212,9364.976524975833,9293.0,1782,2020-07-01 16:00:00+00:00,2,-0.7685713336693994,9049.61,2.432323502022022,3.034542128483805,2.6190681157860696,80.47207043108719,1.157820942330634,1.3721208804875682,1.2784303457228017,1.0365837266315705,1.9962014056583333,2.465865913718885,0.32022402151633766,3.32585189436335,-0.2710933986133253,True,-1.0,0.0,0.0,,,,
做空,1787,1800,2020-07-02 12:00:00+00:00,2020-07-04 16:00:00+00:00,14,False,9171.224831778034,95.23106441978942,8915.76893558021,8936.0,1788,2020-07-02 16:00:00+00:00,2,-0.22691328774855743,9131.33,3.83849185518981,2.8871978513876453,2.1858773500447617,60.28340080971645,1.6188473797958736,2.5936914756218177,1.2770500100885294,1.0523223036107567,2.846902211114466,0.037872325060292866,-2.5557836771319544,0.28992640340858256,-0.7685713336693994,False,-1.0,0.0,0.0,0.0,0.0,,
做多,1800,1803,2020-07-04 16:00:00+00:00,2020-07-05 04:00:00+00:00,4,False,9108.418614133445,80.57523045661566,9274.575230456616,9194.0,1800,2020-07-04 16:00:00+00:00,1,-0.8687754258762842,9062.52,2.2920211996183255,1.6750054383293453,1.4300630846203999,49.12121212121223,0.7151609939458403,1.638220570415534,0.2843477547221079,0.8824041016655367,1.8109884640304434,0.9235607340567754,-2.006447875902117,2.4241941213580764,-0.22691328774855743,False,-1.0,0.0,,,,,
做空,1803,1808,2020-07-05 04:00:00+00:00,2020-07-06 00:00:00+00:00,6,False,9110.603406781327,76.51606321274085,8963.48393678726,8900.0,1807,2020-07-05 20:00:00+00:00,5,0.7082506895194305,9087.3,1.8735579200796055,2.50561797752809,2.1044943820224637,71.63640341281966,0.7173531989482895,1.1947818034733593,0.628409313840916,0.8443133169663719,1.1438791118585463,0.13565302229384327,-2.619972742751076,1.6535090108887533,-0.8687754258762842,False,-1.0,0.9651381160505277,0.0,,,,
做空,1808,1809,2020-07-06 00:00:00+00:00,2020-07-06 04:00:00+00:00,2,False,9102.208881374638,80.0792826609388,8978.02071733906,9058.1,1808,2020-07-06 00:00:00+00:00,1,-0.8919480716532997,9199.71,1.614824550147715,1.9886068822379879,1.563352137865543,23.77503852079901,-0.17019663001851537,0.810446820244266,0.18617651006894842,0.8812219543862182,0.8124333133053177,0.4027893844519462,-1.3324295180287251,2.3389320405508673,0.7082506895194305,True,-1.0,,,,,,
做多,1809,1816,2020-07-06 04:00:00+00:00,2020-07-07 08:00:00+00:00,8,False,9101.937677573225,83.97981852789187,9322.209818527892,9380.0,1814,2020-07-07 00:00:00+00:00,6,0.6199193388379878,9271.11,2.5966999589172377,1.7112585419501372,1.160874200426433,71.09874122335349,1.237001089432499,1.8824760849833746,1.1642359335927965,0.9128528891442435,2.3066696095888988,1.6447729829582383,0.06799252606270742,3.568833622812101,-0.8919480716532997,False,-1.0,0.6436242175192195,0.010727070291986994,0.0,,,
做多,1816,1817,2020-07-07 08:00:00+00:00,2020-07-07 12:00:00+00:00,2,False,9225.992322154749,85.69542391205559,9359.965423912055,9295.55,1817,2020-07-07 12:00:00+00:00,2,-0.6882015156540331,9274.99,1.495362616986635,0.6729026254498043,0.2211811027857361,18.647503224618976,0.10927557420967737,0.6332893580839823,0.5264887643423477,0.924327549905627,0.9114719427765289,2.3405768187747,-1.2706629482543563,4.330569627391656,0.6199193388379878,True,-1.0,,,,,,
做多,1817,1818,2020-07-07 12:00:00+00:00,2020-07-07 16:00:00+00:00,2,False,9233.272647645928,84.53815271645277,9380.088152716453,9295.55,1817,2020-07-07 12:00:00+00:00,1,-0.9012511539347481,9239.78,1.5680892367078285,0.7051761326656225,0.5999644991420477,6.187050359710674,0.04185043646336428,0.7399026118987554,0.4934736685576097,0.9114635456906451,0.9666953418347229,2.3834067968524884,-1.2421610435729715,4.435748688024258,-0.6882015156540331,True,-1.0,,,,,,
