止盈配置,信号时间,年份,月份,方向,突破基准价,回调高点价,回调高点时间,是否有回调高点,回调偏移(%),信号K收盘价,ATR,ATR%,初始止损价,止盈目标价,日线EMA70,偏离度_突破K(%),偏离度_前一K(%),出场时间,出场价,出场原因,涨跌幅_回调高点(%),涨跌幅_突破线(%),R值,MFE_回调高点(%),MFE_突破线(%),MFE的R值,MFE是否≥10%(回调高点),MFE是否≥10%(突破线),MFE是否≥8%(回调高点),持仓K线数,持仓小时
12%,2022-07-21 08:00,2022,7,做空,22912.4,23298.5,2022-07-20 16:00,是,1.69,22774.4,661.58,2.89,23573.98,20502.68,25173.17,-9.53,-7.97,2022-07-22 00:00,22717.23,KAMA跟踪止盈,2.49,0.85,0.3,4.11,2.5,0.86,否,否,否,4,16
12%,2022-07-22 16:00,2022,7,做多,23342.2,23342.2,2022-07-22 16:00,否,0.0,23600.8,617.43,2.65,22724.77,26143.26,25102.81,-5.98,-7.94,2022-07-23 00:00,22724.77,ATR止损,-2.65,-2.65,-1.0,1.75,1.75,0.66,否,否,否,2,8
12%,2022-07-23 16:00,2022,7,做空,22500.0,22500.0,2022-07-23 04:00,是,0.0,22226.3,577.6,2.57,23077.6,19800.0,25027.8,-11.19,-9.04,2022-07-24 08:00,22500.0,保本平仓,0.0,0.0,0.0,2.52,2.52,0.98,否,否,否,4,16
12%,2022-07-24 20:00,2022,7,做多,22828.8,22828.8,2022-07-24 20:00,否,0.0,22837.0,533.11,2.34,22295.69,25568.26,24958.59,-8.5,-9.26,2022-07-25 08:00,22295.69,ATR止损,-2.34,-2.34,-1.0,0.75,0.75,0.32,否,否,否,3,12
12%,2022-07-26 04:00,2022,7,做空,21544.5,21544.5,2022-07-26 04:00,否,0.0,21300.0,496.59,2.3,22041.09,18959.16,24855.53,-14.3,-11.97,2022-07-27 04:00,21124.67,KAMA跟踪止盈,1.95,1.95,0.85,3.97,3.97,1.72,否,否,否,6,24
12%,2022-07-27 12:00,2022,7,做多,21294.0,21250.0,2022-07-26 12:00,是,0.21,21335.0,474.51,2.23,20819.49,23800.0,24702.65,-13.63,-14.73,2022-07-28 20:00,23800.0,固定止盈,12.0,11.77,5.28,12.94,12.71,5.7,是,是,是,8,32
12%,2022-07-30 20:00,2022,7,做多,24220.0,24129.9,2022-07-30 04:00,是,0.37,24522.8,509.82,2.1,23710.18,27025.49,24623.88,-0.41,-2.71,2022-07-31 04:00,23710.18,ATR止损,-1.74,-2.1,-1.0,1.89,1.51,0.72,否,否,否,2,8
12%,2022-08-01 04:00,2022,7,做空,23340.0,23511.3,2022-07-31 08:00,是,0.73,23290.1,505.96,2.17,23845.96,20689.94,24586.31,-5.27,-3.06,2022-08-01 20:00,23340.0,保本平仓,0.73,0.0,0.0,2.46,1.74,0.8,否,否,否,4,16
12%,2022-08-05 00:00,2022,8,做空,22707.0,22707.0,2022-08-04 04:00,是,0.0,22439.1,446.97,1.97,23153.97,19982.16,24404.53,-8.05,-6.11,2022-08-05 08:00,23153.97,ATR止损,-1.97,-1.97,-1.0,1.2,1.2,0.61,否,否,否,2,8
12%,2022-08-08 12:00,2022,8,做多,23400.0,23400.0,2022-08-08 12:00,否,0.0,23796.8,332.99,1.42,23067.01,26208.0,24286.28,-2.02,-4.08,2022-08-09 08:00,23681.77,KAMA跟踪止盈,1.2,1.2,0.85,3.6,3.6,2.53,否,否,否,5,20
12%,2022-08-09 16:00,2022,8,做空,23617.6,23757.4,2022-08-08 16:00,是,0.59,23257.8,334.21,1.42,23951.81,20906.51,24254.0,-4.11,-1.6,2022-08-10 20:00,23282.29,KAMA跟踪止盈,2.0,1.42,1.0,4.84,4.27,3.02,否,否,否,7,28
12%,2022-08-11 08:00,2022,8,做多,24235.2,24235.2,2022-08-11 08:00,否,0.0,24313.7,403.73,1.67,23831.47,27143.42,24235.94,0.32,-1.26,2022-08-12 00:00,24235.2,保本平仓,0.0,0.0,0.0,3.04,3.04,1.82,否,否,否,4,16
12%,2022-08-12 16:00,2022,8,做空,23750.0,23750.0,2022-08-12 16:00,否,0.0,23663.2,409.11,1.72,24159.11,20900.0,24240.21,-2.38,-1.2,2022-08-13 00:00,24159.11,ATR止损,-1.72,-1.72,-1.0,0.45,0.45,0.26,否,否,否,2,8
12%,2022-08-13 04:00,2022,8,做多,24325.0,24325.0,2022-08-12 04:00,是,0.0,24387.5,410.18,1.69,23914.82,27244.0,24240.21,0.61,-0.32,2022-08-13 20:00,24325.0,保本平仓,0.0,0.0,0.0,2.28,2.28,1.35,否,否,否,4,16
12%,2022-08-15 00:00,2022,8,做空,24309.7,24332.1,2022-08-14 08:00,是,0.09,24273.8,382.26,1.57,24691.96,21412.25,24246.9,0.11,1.09,2022-08-15 08:00,24691.96,ATR止损,-1.48,-1.57,-1.0,0.75,0.66,0.42,否,否,否,2,8
12%,2022-08-15 12:00,2022,8,做空,24138.0,24138.0,2022-08-15 00:00,是,0.0,24010.8,411.03,1.7,24549.03,21241.44,24242.34,-0.96,2.53,2022-08-16 04:00,24138.0,保本平仓,0.0,0.0,0.0,1.56,1.56,0.91,否,否,否,4,16
12%,2022-08-17 20:00,2022,8,做空,23650.0,23676.5,2022-08-17 00:00,是,0.11,23385.7,399.49,1.69,24049.49,20835.32,24205.8,-3.39,-1.94,2022-08-20 04:00,20835.32,固定止盈,12.0,11.9,7.05,12.32,12.22,7.23,是,是,是,14,56
12%,2022-08-21 16:00,2022,8,做多,21350.0,21350.0,2022-08-21 00:00,是,0.0,21514.3,392.81,1.84,20957.19,23912.0,23929.14,-10.09,-11.23,2022-08-22 12:00,21350.0,保本平仓,0.0,0.0,0.0,2.13,2.13,1.16,否,否,否,5,20
12%,2022-08-25 00:00,2022,8,做多,21662.0,21541.2,2022-08-24 08:00,是,0.56,21695.8,351.81,1.62,21310.19,24126.14,23722.99,-8.55,-8.93,2022-08-25 08:00,21310.19,ATR止损,-1.07,-1.62,-1.0,0.97,0.41,0.25,否,否,否,2,8
12%,2022-08-26 16:00,2022,8,做空,21311.0,21385.5,2022-08-26 00:00,是,0.35,21179.7,316.14,1.48,21627.14,18819.24,23565.03,-10.12,-9.02,2022-08-26 20:00,21627.14,ATR止损,-1.13,-1.48,-1.0,3.86,3.52,2.38,否,否,否,1,4
12%,2022-08-27 04:00,2022,8,做空,20518.0,20518.0,2022-08-27 04:00,否,0.0,20228.7,369.08,1.8,20887.08,18055.84,23565.03,-14.16,-12.43,2022-08-28 08:00,20098.6,KAMA跟踪止盈,2.04,2.04,1.14,3.77,3.77,2.1,否,否,否,7,28
12%,2022-08-29 04:00,2022,8,做空,19793.8,19918.0,2022-08-28 08:00,是,0.63,19547.5,322.88,1.63,20116.68,17527.84,23354.92,-16.3,-14.53,2022-08-29 20:00,19793.8,保本平仓,0.62,0.0,0.0,1.9,1.29,0.79,否,否,否,4,16
12%,2022-08-30 20:00,2022,8,做空,19795.1,20100.0,2022-08-30 08:00,是,1.54,19743.8,317.21,1.6,20112.31,17688.0,23170.57,-14.79,-11.98,2022-08-31 08:00,20112.31,ATR止损,-0.06,-1.6,-1.0,2.86,1.37,0.85,否,否,否,3,12
12%,2022-09-01 20:00,2022,9,做空,19790.4,19870.2,2022-09-01 00:00,是,0.4,19775.8,363.04,1.83,20153.44,17485.78,22999.04,-14.01,-12.78,2022-09-02 04:00,20153.44,ATR止损,-1.43,-1.83,-1.0,1.59,1.19,0.65,否,否,否,2,8
12%,2022-09-02 20:00,2022,9,做多,20290.0,20290.0,2022-09-02 20:00,否,0.0,20344.8,350.25,1.73,19939.75,22724.8,22912.9,-11.21,-12.35,2022-09-03 00:00,19939.75,ATR止损,-1.73,-1.73,-1.0,0.38,0.38,0.22,否,否,否,1,4
12%,2022-09-04 12:00,2022,9,做空,19628.7,19628.7,2022-09-04 00:00,是,0.0,19618.5,301.74,1.54,19930.44,17273.26,22745.99,-13.75,-13.1,2022-09-05 00:00,19930.44,ATR止损,-1.54,-1.54,-1.0,0.3,0.3,0.19,否,否,否,3,12
12%,2022-09-05 04:00,2022,9,做多,19947.6,19947.6,2022-09-05 04:00,否,0.0,19992.7,292.99,1.47,19654.61,22341.31,22745.99,-12.1,-12.63,2022-09-05 16:00,19654.61,ATR止损,-1.47,-1.47,-1.0,0.5,0.5,0.34,否,否,否,3,12
12%,2022-09-07 00:00,2022,9,做空,19650.4,19665.0,2022-09-06 08:00,是,0.07,18813.0,277.81,1.41,19928.21,17305.2,22553.26,-16.58,-12.16,2022-09-08 00:00,19104.85,KAMA跟踪止盈,2.85,2.78,1.96,5.92,5.85,4.14,否,否,否,6,24
12%,2022-09-08 04:00,2022,9,做多,19188.0,18861.9,2022-09-07 08:00,是,1.7,19287.0,315.02,1.64,18872.98,21125.33,22461.25,-14.13,-15.49,2022-09-08 20:00,19188.0,保本平仓,1.73,0.0,0.0,2.85,1.1,0.67,否,否,否,4,16
12%,2022-09-09 08:00,2022,9,做多,19450.0,19400.0,2022-09-08 16:00,是,0.26,19936.0,310.29,1.6,19139.71,21728.0,22343.72,-10.78,-13.69,2022-09-10 20:00,21203.51,KAMA跟踪止盈,9.3,9.02,5.65,11.7,11.41,7.15,是,是,是,9,36
12%,2022-09-13 20:00,2022,9,做空,22003.9,22048.4,2022-09-13 08:00,是,0.2,20823.9,399.65,1.82,22403.55,19402.59,22251.3,-6.41,1.19,2022-09-16 20:00,19402.59,固定止盈,12.0,11.82,6.51,12.08,11.9,6.55,是,是,是,18,72
12%,2022-09-19 04:00,2022,9,做空,19556.7,19930.0,2022-09-18 04:00,是,1.91,19404.5,341.86,1.75,19898.56,17538.4,21929.54,-11.51,-10.1,2022-09-19 20:00,19234.6,KAMA跟踪止盈,3.49,1.65,0.94,8.61,6.86,3.92,否,否,是,4,16
12%,2022-09-23 20:00,2022,9,做空,18767.6,19150.0,2022-09-23 04:00,是,2.04,18704.4,466.36,2.48,19233.96,16852.0,21553.32,-13.22,-12.52,2022-09-24 04:00,19233.96,ATR止损,-0.44,-2.48,-1.0,3.08,1.1,0.44,否,否,否,2,8
12%,2022-09-27 08:00,2022,9,做多,19311.5,19273.1,2022-09-26 20:00,是,0.2,20091.9,353.52,1.83,18957.98,21585.87,21277.81,-5.57,-9.96,2022-09-28 00:00,19734.2,KAMA跟踪止盈,2.39,2.19,1.2,5.72,5.51,3.01,否,否,否,4,16
12%,2022-09-28 08:00,2022,9,做空,18801.5,19182.0,2022-09-27 08:00,是,2.02,18736.0,420.64,2.24,19222.14,16880.16,21225.12,-11.73,-10.38,2022-09-28 20:00,19222.14,ATR止损,-0.21,-2.24,-1.0,3.25,1.29,0.58,否,否,否,3,12
12%,2022-09-30 20:00,2022,9,做多,19698.6,19698.6,2022-09-30 08:00,是,0.0,19749.4,408.62,2.07,19289.98,22062.43,21129.07,-6.53,-8.04,2022-10-01 04:00,19289.98,ATR止损,-2.07,-2.07,-1.0,0.85,0.85,0.41,否,否,否,2,8
12%,2022-10-04 00:00,2022,10,做多,19489.9,19339.2,2022-10-03 00:00,是,0.77,19537.7,315.73,1.62,19174.17,21659.9,20981.13,-6.88,-7.87,2022-10-05 12:00,20098.22,KAMA跟踪止盈,3.92,3.12,1.93,6.0,5.18,3.2,否,否,否,9,36
12%,2022-10-07 20:00,2022,10,做空,19800.0,19800.0,2022-10-07 20:00,否,0.0,19574.1,287.25,1.45,20087.25,17424.0,20873.01,-6.22,-4.23,2022-10-09 16:00,19501.34,KAMA跟踪止盈,1.51,1.51,1.04,3.03,3.03,2.09,否,否,否,11,44
12%,2022-10-10 16:00,2022,10,做空,19333.0,19359.3,2022-10-10 04:00,是,0.14,19323.2,216.27,1.12,19549.27,17036.18,20745.22,-6.85,-6.48,2022-10-11 20:00,19224.84,KAMA跟踪止盈,0.69,0.56,0.5,2.63,2.5,2.23,否,否,否,7,28
12%,2022-10-13 16:00,2022,10,做空,18924.3,18924.3,2022-10-12 20:00,是,0.0,18744.9,195.04,1.03,19119.34,16653.38,20617.66,-9.08,-7.85,2022-10-14 00:00,19119.34,ATR止损,-1.03,-1.03,-1.0,5.32,5.32,5.16,否,否,否,2,8
12%,2022-10-14 08:00,2022,10,做多,19498.6,19105.0,2022-10-13 12:00,是,2.02,19806.3,267.63,1.37,19230.97,21397.6,20576.73,-3.74,-6.07,2022-10-15 00:00,19498.6,保本平仓,2.06,0.0,0.0,3.87,1.77,1.29,否,否,否,4,16
12%,2022-10-17 00:00,2022,10,做多,19188.0,19188.0,2022-10-17 00:00,否,0.0,19369.9,212.98,1.11,18975.02,21490.56,20497.9,-5.5,-6.58,2022-10-18 20:00,19405.23,KAMA跟踪止盈,1.13,1.13,1.02,2.7,2.7,2.43,否,否,否,11,44
12%,2022-10-19 00:00,2022,10,做空,19275.0,19463.0,2022-10-18 04:00,是,0.98,19209.6,218.06,1.13,19493.06,17127.44,20438.54,-6.01,-5.26,2022-10-19 20:00,19275.0,保本平仓,0.97,0.0,0.0,2.12,1.17,1.03,否,否,否,5,20
12%,2022-10-20 08:00,2022,10,做空,19050.0,19050.0,2022-10-19 20:00,是,0.0,19033.2,212.53,1.12,19262.53,16764.0,20362.81,-6.53,-6.3,2022-10-20 20:00,19262.53,ATR止损,-1.12,-1.12,-1.0,0.1,0.1,0.09,否,否,否,3,12
12%,2022-10-24 00:00,2022,10,做多,19236.8,19214.0,2022-10-23 12:00,是,0.12,19492.2,158.81,0.83,19077.99,21519.68,20276.0,-3.87,-5.4,2022-10-24 16:00,19317.26,KAMA跟踪止盈,0.54,0.42,0.51,2.48,2.36,2.85,否,否,否,4,16
12%,2022-10-25 20:00,2022,10,做多,19439.8,19406.9,2022-10-25 04:00,是,0.17,19740.3,167.6,0.86,19272.2,21735.73,20243.93,-2.49,-4.71,2022-10-27 16:00,20557.31,KAMA跟踪止盈,5.93,5.75,6.67,8.36,8.18,9.49,否,否,是,11,44
12%,2022-10-28 04:00,2022,10,做空,20420.0,20420.0,2022-10-28 04:00,否,0.0,20285.5,261.0,1.28,20681.0,17969.6,20259.18,0.13,1.78,2022-10-28 20:00,20341.71,KAMA跟踪止盈,0.38,0.38,0.3,2.3,2.3,1.8,否,否,否,4,16
12%,2022-10-29 08:00,2022,10,做多,20740.0,20326.9,2022-10-28 08:00,是,1.99,20745.2,277.11,1.34,20462.89,22766.13,20283.18,2.28,1.55,2022-10-30 04:00,20740.0,保本平仓,2.03,0.0,0.0,3.74,1.68,1.26,否,否,否,5,20
12%,2022-10-31 20:00,2022,10,做空,20416.0,20416.0,2022-10-31 08:00,是,0.0,20390.4,253.75,1.24,20669.75,17966.08,20297.88,0.46,2.09,2022-11-01 12:00,20416.0,保本平仓,0.0,0.0,0.0,0.48,0.48,0.38,否,否,否,4,16
12%,2022-11-03 00:00,2022,11,做空,20323.0,20366.8,2022-11-02 00:00,是,0.22,20241.1,221.53,1.09,20544.53,17922.78,20298.21,-0.28,0.5,2022-11-03 16:00,20323.0,保本平仓,0.22,0.0,0.0,1.61,1.4,1.28,否,否,否,4,16
12%,2022-11-04 12:00,2022,11,做多,20400.0,20327.6,2022-11-03 20:00,是,0.35,20603.3,227.14,1.11,20172.86,22766.91,20319.16,1.4,-0.05,2022-11-06 08:00,21225.44,KAMA跟踪止盈,4.42,4.05,3.63,5.64,5.26,4.73,否,否,否,11,44
12%,2022-11-07 04:00,2022,11,做空,21133.8,21133.8,2022-11-06 12:00,是,0.0,20900.0,220.6,1.04,21354.4,18597.74,20362.09,2.64,4.05,2022-11-09 00:00,20021.45,KAMA跟踪止盈,5.26,5.26,5.04,20.36,20.36,19.51,是,是,是,11,44
12%,2022-11-10 00:00,2022,11,做空,16830.0,17798.8,2022-11-09 04:00,是,5.76,16764.5,553.03,3.29,17383.03,15662.94,20192.26,-16.98,-15.32,2022-11-10 04:00,15662.94,固定止盈,12.0,6.93,2.11,13.13,8.12,2.47,是,否,是,1,4
12%,2022-11-14 04:00,2022,11,做空,16413.8,16413.8,2022-11-13 16:00,是,0.0,16321.2,494.97,3.02,16908.77,14444.14,19839.83,-17.74,-16.59,2022-11-14 16:00,16908.77,ATR止损,-3.02,-3.02,-1.0,3.71,3.71,1.23,否,否,否,3,12
12%,2022-11-16 20:00,2022,11,做空,16606.0,16728.2,2022-11-16 04:00,是,0.74,16424.1,436.59,2.63,17042.59,14720.82,19583.13,-16.13,-14.75,2022-11-17 12:00,16606.0,保本平仓,0.73,0.0,0.0,2.01,1.29,0.49,否,否,否,4,16
12%,2022-11-18 08:00,2022,11,做多,16741.7,16741.7,2022-11-17 08:00,是,0.0,16845.6,361.8,2.16,16379.9,18750.7,19422.21,-13.27,-14.46,2022-11-19 00:00,16741.7,保本平仓,0.0,0.0,0.0,0.68,0.68,0.32,否,否,否,4,16
12%,2022-11-20 16:00,2022,11,做空,16574.1,16619.0,2022-11-20 04:00,是,0.27,16517.5,242.2,1.46,16816.3,14624.72,19258.77,-14.23,-13.23,2022-11-22 20:00,15930.3,KAMA跟踪止盈,4.14,3.88,2.66,7.08,6.82,4.67,否,否,否,13,52
12%,2022-11-23 08:00,2022,11,做多,16309.0,16309.0,2022-11-22 20:00,是,0.0,16577.9,277.98,1.7,16031.02,18266.08,19007.85,-12.78,-14.98,2022-11-25 12:00,16428.9,KAMA跟踪止盈,0.74,0.74,0.43,3.01,3.01,1.77,否,否,否,13,52
12%,2022-11-28 08:00,2022,11,做空,16396.0,16505.5,2022-11-27 16:00,是,0.67,16168.9,176.36,1.08,16572.36,14524.84,18664.92,-13.37,-12.35,2022-11-29 00:00,16334.5,KAMA跟踪止盈,1.04,0.38,0.35,3.16,2.51,2.34,否,否,否,4,16
12%,2022-11-29 12:00,2022,11,做多,16390.4,16390.4,2022-11-29 00:00,是,0.0,16455.9,188.6,1.15,16201.8,18357.25,18602.06,-11.54,-12.49,2022-12-01 20:00,17011.36,KAMA跟踪止盈,3.79,3.79,3.29,5.85,5.85,5.08,否,否,否,14,56
12%,2022-12-04 04:00,2022,12,做空,16881.4,16881.4,2022-12-03 16:00,是,0.0,16879.5,165.37,0.98,17046.77,14855.63,18431.09,-8.42,-8.06,2022-12-04 12:00,17046.77,ATR止损,-0.98,-0.98,-1.0,0.04,0.04,0.04,否,否,否,2,8
12%,2022-12-05 00:00,2022,12,做多,17075.9,17075.9,2022-12-04 12:00,是,0.0,17077.6,159.9,0.94,16916.0,19125.01,18393.58,-7.15,-7.46,2022-12-05 20:00,17115.37,KAMA跟踪止盈,0.23,0.23,0.25,2.07,2.07,2.21,否,否,否,5,20
12%,2022-12-06 00:00,2022,12,做空,16965.1,17068.0,2022-12-05 08:00,是,0.61,16919.5,173.04,1.02,17138.14,15019.84,18353.15,-7.81,-6.97,2022-12-06 16:00,16965.1,保本平仓,0.6,0.0,0.0,1.03,0.43,0.42,否,否,否,4,16
12%,2022-12-07 12:00,2022,12,做空,16899.9,16901.6,2022-12-07 00:00,是,0.01,16755.4,156.5,0.93,17056.4,14873.41,18275.29,-8.32,-6.88,2022-12-08 20:00,16899.9,保本平仓,0.01,0.0,0.0,1.46,1.45,1.56,否,否,否,8,32
12%,2022-12-09 00:00,2022,12,做多,16948.7,16880.0,2022-12-08 08:00,是,0.41,17241.9,147.73,0.87,16800.97,18905.6,18245.45,-5.5,-7.33,2022-12-09 20:00,17149.23,KAMA跟踪止盈,1.59,1.18,1.36,2.88,2.46,2.82,否,否,否,5,20
12%,2022-12-12 04:00,2022,12,做空,17081.0,17114.0,2022-12-11 08:00,是,0.19,17077.3,113.63,0.67,17194.63,15060.32,18151.85,-5.92,-5.41,2022-12-13 04:00,17060.39,KAMA跟踪止盈,0.31,0.12,0.18,1.45,1.26,1.9,否,否,否,6,24
12%,2022-12-13 16:00,2022,12,做多,17237.9,17237.9,2022-12-13 04:00,是,0.0,17436.8,117.37,0.68,17120.53,19306.45,18115.24,-3.75,-5.29,2022-12-15 00:00,17839.31,KAMA跟踪止盈,3.49,3.49,5.12,6.74,6.74,9.9,否,否,否,8,32
12%,2022-12-15 20:00,2022,12,做空,17560.0,17560.0,2022-12-15 08:00,是,0.0,17424.0,183.81,1.05,17743.81,15452.8,18085.21,-3.66,-2.06,2022-12-19 04:00,16794.06,KAMA跟踪止盈,4.36,4.36,4.17,5.92,5.92,5.65,否,否,否,20,80
12%,2022-12-20 00:00,2022,12,做空,16620.4,16620.4,2022-12-19 08:00,是,0.0,16549.3,155.69,0.94,16776.09,14625.95,17928.65,-7.69,-7.07,2022-12-20 08:00,16776.09,ATR止损,-0.94,-0.94,-1.0,2.47,2.47,2.64,否,否,否,2,8
12%,2022-12-20 20:00,2022,12,做多,16880.2,16880.2,2022-12-20 08:00,是,0.0,16910.9,182.36,1.08,16697.84,18905.82,17899.31,-5.52,-6.11,2022-12-21 12:00,16880.2,保本平仓,0.0,0.0,0.0,0.28,0.28,0.26,否,否,否,4,16
12%,2022-12-22 20:00,2022,12,做空,16694.2,16721.0,2022-12-22 04:00,是,0.16,16631.5,156.72,0.94,16850.92,14714.48,17839.22,-6.77,-5.67,2022-12-23 08:00,16850.92,ATR止损,-0.78,-0.94,-1.0,0.99,0.83,0.88,否,否,否,3,12
12%,2022-12-25 20:00,2022,12,做空,16788.0,16788.0,2022-12-25 20:00,否,0.0,16784.1,106.17,0.63,16894.17,14773.44,17754.7,-5.47,-5.29,2022-12-26 12:00,16788.0,保本平仓,0.0,0.0,0.0,0.38,0.38,0.61,否,否,否,4,16
12%,2022-12-28 00:00,2022,12,做空,16723.2,16810.2,2022-12-27 04:00,是,0.52,16681.3,98.64,0.59,16821.84,14792.98,17701.9,-5.77,-5.15,2022-12-28 20:00,16723.2,保本平仓,0.52,0.0,0.0,1.6,1.09,1.85,否,否,否,5,20
12%,2022-12-29 04:00,2022,12,做空,16541.0,16541.0,2022-12-28 08:00,是,0.0,16539.0,109.94,0.66,16650.94,14556.08,17669.14,-6.4,-6.11,2022-12-29 20:00,16541.0,保本平仓,0.0,0.0,0.0,0.34,0.34,0.51,否,否,否,4,16
12%,2022-12-30 12:00,2022,12,做空,16514.6,16514.6,2022-12-29 16:00,是,0.0,16467.5,102.22,0.62,16616.82,14532.85,17610.62,-6.49,-5.77,2022-12-31 04:00,16514.6,保本平仓,0.0,0.0,0.0,1.18,1.18,1.9,否,否,否,4,16
12%,2023-01-02 08:00,2023,1,做多,16618.8,16557.1,2023-01-01 08:00,是,0.37,16654.6,86.86,0.52,16531.94,18543.95,17528.08,-4.98,-5.37,2023-01-03 04:00,16689.37,KAMA跟踪止盈,0.8,0.42,0.81,1.46,1.08,2.07,否,否,否,5,20
12%,2023-01-04 08:00,2023,1,做多,16774.0,16764.9,2023-01-03 20:00,是,0.05,16855.9,89.7,0.53,16684.3,18776.69,17485.19,-3.6,-4.78,2023-01-05 04:00,16774.0,保本平仓,0.05,0.0,0.0,1.31,1.26,2.35,否,否,否,5,20
12%,2023-01-06 16:00,2023,1,做空,16740.4,16794.0,2023-01-06 00:00,是,0.32,16731.4,90.12,0.54,16830.52,14778.72,17451.83,-4.13,-3.82,2023-01-06 20:00,16830.52,ATR止损,-0.22,-0.54,-1.0,0.77,0.45,0.84,否,否,否,1,4
12%,2023-01-07 00:00,2023,1,做多,16867.8,16865.0,2023-01-06 08:00,是,0.02,16932.6,95.95,0.57,16771.85,18888.8,17451.83,-2.98,-3.54,2023-01-10 04:00,17124.63,KAMA跟踪止盈,1.54,1.52,2.68,3.1,3.08,5.42,否,否,否,19,76
12%,2023-01-11 00:00,2023,1,做多,17387.8,17302.3,2023-01-10 04:00,是,0.49,17424.1,100.23,0.58,17287.57,19378.58,17421.43,0.02,-0.6,2023-01-11 20:00,17387.8,保本平仓,0.49,0.0,0.0,1.14,0.65,1.12,否,否,否,5,20
12%,2023-01-12 00:00,2023,1,做多,17500.0,17500.0,2023-01-11 08:00,是,0.0,17540.6,102.85,0.59,17397.15,19600.0,17435.92,0.6,-0.63,2023-01-14 04:00,19600.0,固定止盈,12.0,12.0,20.42,14.27,14.27,24.29,是,是,是,13,52
12%,2023-01-14 08:00,2023,1,做多,19997.8,19997.8,2023-01-14 08:00,否,0.0,20996.3,253.09,1.27,19744.71,22397.54,17640.69,19.02,13.56,2023-01-15 08:00,20677.25,KAMA跟踪止盈,3.4,3.4,2.68,6.21,6.21,4.91,否,否,否,6,24
12%,2023-01-16 08:00,2023,1,做多,21073.8,21012.0,2023-01-15 08:00,是,0.29,21084.3,338.38,1.61,20735.42,23533.44,17829.37,18.26,17.77,2023-01-16 16:00,20735.42,ATR止损,-1.32,-1.61,-1.0,1.26,0.96,0.6,否,否,否,2,8
12%,2023-01-21 00:00,2023,1,做多,21250.0,21223.2,2023-01-20 08:00,是,0.13,21494.2,319.6,1.5,20930.4,23769.98,18215.34,18.0,16.05,2023-01-22 04:00,22729.49,KAMA跟踪止盈,7.1,6.96,4.63,10.21,10.07,6.7,是,是,是,7,28
12%,2023-01-25 04:00,2023,1,做空,22677.9,22756.1,2023-01-24 04:00,是,0.34,22627.4,358.71,1.58,23036.61,20025.37,18705.73,20.97,23.04,2023-01-25 20:00,22677.9,保本平仓,0.34,0.0,0.0,1.96,1.62,1.02,否,否,否,4,16
12%,2023-01-27 08:00,2023,1,做空,22843.8,22843.8,2023-01-26 16:00,是,0.0,22762.2,357.94,1.57,23201.74,20102.54,19062.08,19.41,21.41,2023-01-28 00:00,22843.8,保本平仓,0.0,0.0,0.0,0.41,0.41,0.26,否,否,否,4,16
12%,2023-01-29 08:00,2023,1,做多,23185.0,23124.3,2023-01-28 12:00,是,0.26,23190.0,304.24,1.31,22880.76,25899.22,19302.1,20.14,20.04,2023-01-30 16:00,23462.87,KAMA跟踪止盈,1.46,1.2,0.91,3.63,3.35,2.56,否,否,否,8,32
12%,2023-01-31 00:00,2023,1,做空,22930.0,23473.7,2023-01-30 00:00,是,2.37,22783.7,333.93,1.46,23263.93,20656.86,19401.19,17.43,19.47,2023-01-31 16:00,22930.0,保本平仓,2.32,0.0,0.0,4.22,1.94,1.34,否,否,否,4,16
12%,2023-02-02 00:00,2023,2,做多,23330.0,23160.4,2023-02-01 12:00,是,0.73,23379.9,304.7,1.31,23025.3,25939.65,19624.92,19.13,17.07,2023-02-02 20:00,23551.36,KAMA跟踪止盈,1.69,0.95,0.73,4.84,4.08,3.12,否,否,否,5,20
12%,2023-02-05 20:00,2023,2,做空,23211.0,23211.0,2023-02-05 08:00,是,0.0,23094.2,262.58,1.13,23473.58,20425.68,20020.33,15.35,16.65,2023-02-07 00:00,23057.83,KAMA跟踪止盈,0.66,0.66,0.58,2.63,2.63,2.33,否,否,否,7,28
12%,2023-02-09 08:00,2023,2,做空,22662.9,22662.9,2023-02-09 08:00,否,0.0,22511.6,263.88,1.16,22926.78,19943.35,20306.91,10.86,13.29,2023-02-12 04:00,21806.49,KAMA跟踪止盈,3.78,3.78,3.25,5.55,5.55,4.77,否,否,否,17,68
12%,2023-02-13 16:00,2023,2,做空,21606.0,21606.0,2023-02-13 16:00,否,0.0,21595.9,237.24,1.1,21843.24,19013.28,20463.1,5.54,6.81,2023-02-14 08:00,21606.0,保本平仓,0.0,0.0,0.0,1.24,1.24,1.13,否,否,否,4,16
12%,2023-02-14 20:00,2023,2,做多,21880.0,21840.0,2023-02-14 04:00,是,0.18,22033.3,235.79,1.08,21644.21,24460.8,20511.67,7.42,6.28,2023-02-16 08:00,24460.8,固定止盈,12.0,11.8,10.95,14.17,13.96,12.95,是,是,是,9,36
12%,2023-02-16 20:00,2023,2,做多,24934.1,24934.1,2023-02-16 08:00,是,0.0,25090.2,336.0,1.35,24598.1,27926.19,20701.2,21.2,18.74,2023-02-17 04:00,24598.1,ATR止损,-1.35,-1.35,-1.0,1.43,1.43,1.06,否,否,否,2,8
